Country,Warming_since_1960,Warming_since_1960_uncertainty,Region
afghanistan,3.32,0.34,Asia
åland,3.01,0.24,Europe
albania,1.97,0.28,Europe
algeria,2.86,0.28,Africa
american-samoa,1.43,0.57,
andorra,2.75,0.29,Europe
angola,1.61,0.34,Africa
anguilla,1.91,0.31,
antarctica,1.05,0.76,
antigua-and-barbuda,1.86,0.28,
argentina,1.11,0.26,South America
armenia,2.38,0.29,Asia
aruba,1.31,0.34,South America
australia,1.4,0.25,Oceania
austria,2.9,0.28,Europe
azerbaijan,2.57,0.35,Asia
bahamas,1.53,0.29,North America
bahrain,3.13,0.55,Asia
baker-island,1.22,0.17,Asia
bangladesh,0.9,0.41,Asia
barbados,1.66,0.32,
belarus,3.16,0.21,Europe
belgium,2.84,0.2,Europe
belize,1.23,0.26,North America
benin,1.82,0.42,Africa
bhutan,1.25,0.6,Asia
bolivia,0.65,0.29,South America
"bonaire,-saint-eustatius-and-saba",1.43,0.34,South America
bosnia-and-herzegovina,2.61,0.3,Europe
botswana,1.38,0.29,Africa
brazil,1.7,0.17,South America
british-virgin-islands,1.88,0.3,
bulgaria,2.01,0.25,Europe
burkina-faso,1.79,0.34,Africa
burma,0.99,0.3,Asia
burundi,1.9,0.24,Africa
cambodia,1.05,0.27,Asia
cameroon,1.61,0.41,Africa
canada,3.64,0.24,North America
cape-verde,2.09,0.57,
cayman-islands,1.47,0.3,
central-african-republic,1.78,0.33,Africa
chad,2.07,0.6,Africa
chile,0.96,0.37,South America
china,2.09,0.23,Asia
christmas-island,1.6,0.27,
colombia,1.23,0.22,South America
comoros,1.92,0.32,
congo,1.47,0.43,Africa
congo-(democratic-republic-of-the),1.7,0.23,Africa
costa-rica,1.6,0.45,North America
côte-d'ivoire,1.8,0.29,Africa
croatia,2.82,0.31,Europe
cuba,1.46,0.25,North America
curaçao,1.32,0.37,South America
cyprus,1.92,0.33,Asia
czech-republic,2.73,0.26,Europe
denmark,3.56,0.74,North America
denmark-(europe),2.86,0.23,Europe
djibouti,2.29,0.44,Africa
dominica,1.75,0.31,North America
dominican-republic,1.67,0.33,North America
ecuador,1.31,0.36,South America
egypt,2.03,0.33,Africa
el-salvador,1.41,0.3,North America
equatorial-guinea,1.48,0.39,Africa
eritrea,2.29,0.39,Africa
estonia,3.01,0.27,Europe
ethiopia,2.19,0.25,Africa
falkland-islands-(islas-malvinas),1.37,0.38,South America
faroe-islands,1.74,0.63,
federated-states-of-micronesia,1.79,0.51,
fiji,1.3,0.44,Oceania
finland,3.03,0.27,Europe
france,2.6,0.21,
france-(europe),2.77,0.22,Europe
french-guiana,1.85,0.22,South America
french-polynesia,1.58,0.46,
french-southern-and-antarctic-lands,1.67,0.67,
gabon,1.47,0.45,Africa
gambia,1.86,0.39,Africa
gaza-strip,2.05,0.21,Asia
georgia,2.1,0.26,Asia
